code,name,mapped_to,type,resolution,climate,ozone,radiation,photo_ox,pm,ht_nc,ht_c,acid,e_fw,e_m,e_t,ecotox,land,water,energy,mater,cc_bio,cc_fos,cc_luc
26074,"Roussette ou petite roussette ou saumonette, crue","Nursehound or lesser spotted dogfish, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26075,"Bar ou loup de l'Atlantique, cru","Atlantic bass, raw",,mapped,-4.7827,0.1611,0.0277,0.0381,-0.3259,-0.0008,27.6176,0.0402,-0.7018,-0.1124,-0.1294,3.913,-4.8946,-83.1926,-0.7168,-0.0415,1.8936,-5.496,-0.8111
26076,"Thon germon ou thon blanc, cru","Albacore, raw",,mapped,0.0248,0.1161,-0.1293,-0.0162,0.0239,0.5943,-1.649,-0.1881,0.0695,-0.0075,-0.0376,15.3646,-0.0942,11.5764,1.1621,-0.082,-0.0774,0.0226,0.0165
26077,"Thon germon ou thon blanc, cuit à la vapeur sous pression","Albacore, steamed under pressure",,mapped,-0.3614,-0.1673,-0.0253,0.1496,0.1427,0.84,-1.5839,-0.0958,-0.0773,-0.0294,0.0365,15.5942,0.2174,11.1331,0.6499,-0.0393,-0.0232,0.3855,-0.0046
26079,"Anchois commun, cru","Common anchovy, raw",,mapped,0.04,0.1023,-0.176,0.0318,-0.0557,0.8447,-4.7541,0.1273,0.1082,0.0457,0.5024,15.8749,-0.0094,12.2664,0.8548,-0.0347,-0.151,-0.1781,0.0339
26080,"Dorade royale, ou daurade ou vraie daurade, crue, sauvage","Gilthead seabream, raw, wild",,mapped,-0.2924,-0.0522,0.0394,-0.1127,0.1173,0.8154,-1.5335,0.1117,-0.1128,-0.0416,-0.0543,15.2735,-0.2402,6.3364,0.4474,0.0042,-0.0511,-0.4109,-0.0042
26081,"Lotte ou baudroie, grillée/poêlée","Anglerfish, grilled",,mapped,0.0011,0.0647,-0.0066,-0.0347,0.0689,0.8371,-1.6745,-0.0351,-0.0803,0.0316,-0.0694,15.2945,0.0669,-15.3734,0.9344,-0.0524,-0.2165,-0.2251,0.15
26082,"Espadon, cru","Swordfish, raw",,mapped,-0.0025,-0.2994,0.087,0.0038,0.001,0.3465,-2.5317,0.0293,-0.0541,-0.0269,0.149,19.3089,0.2407,24.7664,0.9494,0.1702,-0.0502,-0.0983,0.023
26083,"Éperlan, cru","Pond smelt, raw",,mapped,-0.1495,-0.1206,-0.0166,0.187,0.0421,0.899,-5.8362,-0.0589,0.2259,0.0431,-0.0115,15.5019,0.0312,12.9183,0.796,0.0168,-0.0045,-0.0148,-0.0914
26084,"Cardine franche, crue","Megrim, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
